Age	Sex	Education	LN	EHI1	EHI2	EHI3	EHI4	EHI5	EHI6	EHI7	EHI8	EHI9	EHI10	FLI1	FLI2	FLI3	FLI4	FLI5	FLI6	FLI7	FLI8	FLI9	FLI10	FLI_recznosc_samoocena	FLI_uszkodzenia
24	1	4	17	1	1	1	3	1	3	3	3	3	1	100	100	70	95	999	70	80	100	80	100	1	0
24	1	2	16	1	1	1	1	1	1	1	1	1	1	100	100	98	90	50	50	100	100	100	100	1	0
32	1	4	21	1	1	1	1	1	1	1	1	1	1	100	100	99	95	 	100	100	98	95	100	1	0
25	2	4	18	2	2	2	2	2	2	2	2	3	1	0	0	100	50	50	0	50	100	50	50	2	1
19	1	2	12	1	1	1	3	1	3	1	1	3	3	100	100	60	98	50	60	60	50	50	100	3	0
30	1	4	17	1	1	3	1	1	3	1	1	3	1	100	100	95	95	40	50	90	90	50	100	1	0
25	1	1	10	2	2	2	2	2	3	2	2	2	2	0	60	75	50	100	50	100	87	71	100	2	0
34	1	4	18	1	1	1	1	1	1	1	1	1	1	100	100	100	0	0	50	100	100	100	100	1	0
25	1	4	17	2	2	2	2	2	2	2	2	2	2	0	0	0	0	5	0	3	0	5	0	2	0
24	2	4	17	1	1	1	3	1	1	1	1	3	1	100	100	 	70	10	999	70	95	60	100	1	0
22	1	2	15	1	1	1	1	1	3	1	3	3	3	100	100	999	999	999	999	999	999	999	100	1	0
22	1	2	15	1	1	1	1	1	1	3	1	3	1	100	100	70	100	0	80	80	100	70	100	1	0
23	1	4	15	1	1	1	1	1	1	1	1	1	1	100	100	95	80	80	80	90	95	80	100	1	0
20	1	2	14	1	1	3	3	1	3	2	1	2	1	100	100	50	50	50	100	100	100	50	100	1	0
21	1	2	15	1	1	1	1	1	1	3	1	3	1	100	100	98	100	0	50	98	98	98	100	1	0
26	2	4	22	2	2	2	2	2	2	2	2	3	2	10	0	30	0	999	999	25	0	999	25	2	1
39	1	4	18	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
23	2	4	16	1	1	1	1	1	1	3	1	3	1	99	99	60	70	60	45	60	85	65	100	1	0
20	1	2	14	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	28	2	1
24	2	4	17	1	1	1	1	1	1	3	1	3	1	100	100	100	70	60	80	100	95	95	100	1	0
23	1	2	15	1	1	1	1	1	1	3	1	1	1	100	95	75	95	75	65	80	80	60	100	1	0
19	2	2	12	1	1	1	1	1	1	1	1	3	1	100	100	70	70	999	60	999	99	65	100	1	0
23	1	4	16	1	1	1	3	1	3	3	1	3	1	100	100	50	50	100	50	50	50	50	100	1	0
20	1	2	14	2	2	2	2	2	2	2	2	2	2	0	0	0	20	20	50	30	0	35	0	2	0
18	1	2	12	1	1	1	1	1	1	2	1	1	1	100	100	90	100	0	5	50	100	100	100	1	0
19	1	1	12	2	2	2	2	2	2	3	2	2	2	0	0	0	0	0	0	10	0	0	0	2	0
20	1	2	13	1	1	1	1	1	1	1	1	1	1	100	100	70	90	80	60	90	100	70	100	1	0
21	1	4	15	1	1	1	1	1	1	1	1	1	1	100	100	75	100	100	90	100	100	90	100	1	0
23	1	2	16	1	1	1	1	1	3	1	1	3	1	100	90	75	90	100	75	75	90	80	100	1	0
20	2	3	14	1	1	1	1	1	3	2	1	3	1	100	100	60	80	80	999	75	95	999	100	1	0
22	1	2	16	2	1	2	1	2	3	1	2	1	1	0	0	50	60	100	50	50	90	50	100	 	0
18	2	1	11	1	1	1	1	1	1	1	1	1	1	100	100	95	100	50	50	60	70	60	100	1	0
22	1	2	16	1	1	1	1	1	1	1	1	1	1	100	100	50	100	100	70	70	100	100	100	1	0
21	2	2	15	1	1	1	1	1	3	3	1	3	1	100	100	100	50	50	50	50	80	50	90	1	0
20	1	2	13	1	1	1	1	1	3	3	1	1	1	100	100	60	60	999	999	999	100	65	100	1	1
20	1	2	13	1	1	1	1	1	1	3	1	3	1	100	100	80	80	50	40	60	95	50	90	1	0
23	1	4	16	1	1	1	1	1	1	1	1	1	1	100	100	70	90	90	50	80	95	50	100	1	0
32	1	4	18	2	2	1	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	2	0
23	1	2	14.5	1	1	1	1	1	1	1	1	1	1	100	100	100	100	50	100	100	100	100	100	1	0
21	2	2	14	1	1	1	1	1	1	1	1	2	1	100	100	95	100	999	100	100	100	999	100	1	0
30	2	4	22	2	2	2	2	2	2	2	2	2	2	0	0	0	3	0	0	0	0	0	0	2	0
21	2	2	14	1	1	1	1	1	1	1	1	1	1	100	100	70	80	70	70	75	90	60	90	1	0
19	2	2	13.5	2	2	2	2	2	2	2	2	2	2	0	0	100	0	50	50	100	0	50	50	2	0
